Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,299.420013,300.209991,298.940002,299.989990,295.476868,39048600
2019-10-22,300.579987,300.899994,298.910004,299.010010,294.511658,48594700
2019-10-23,298.730011,299.940002,298.500000,299.880005,295.368561,34352200
2019-10-24,300.910004,301.070007,299.459991,300.369995,295.851196,35453100
2019-10-25,299.739990,302.200012,299.679993,301.600006,297.062683,45205400
2019-10-28,302.940002,303.850006,302.910004,303.299988,298.737091,42147000
2019-10-29,303.000000,304.230011,302.859985,303.209991,298.648468,44284900
2019-10-30,303.429993,304.549988,301.989990,304.140015,299.564484,49643900
2019-10-31,304.130005,304.130005,301.730011,303.329987,298.766663,69053800
2019-11-01,304.920013,306.190002,304.739990,306.140015,301.534393,71141500
2019-11-04,307.850006,308.000000,306.959991,307.369995,302.745880,60606900
2019-11-05,307.589996,307.920013,306.709991,307.029999,302.410980,42933200
2019-11-06,307.029999,307.399994,306.059998,307.100006,302.479919,46487100
2019-11-07,308.570007,309.649994,307.660004,308.179993,303.543671,54272300
2019-11-08,307.799988,309.000000,307.029999,308.940002,304.292267,49032100
2019-11-11,307.420013,308.540009,307.269989,308.350006,303.711151,35797300
2019-11-12,308.750000,309.989990,308.149994,309.000000,304.351349,46484600
2019-11-13,307.910004,309.540009,307.660004,309.100006,304.449860,53917700
2019-11-14,308.790009,309.640015,308.089996,309.549988,304.893066,51219900
2019-11-15,311.019989,311.839996,310.260010,311.790009,307.099396,62023600
2019-11-18,311.529999,312.279999,311.029999,312.019989,307.325897,49228000
2019-11-19,312.679993,312.690002,311.220001,311.929993,307.237274,67804700
2019-11-20,311.279999,311.850006,309.059998,310.769989,306.094727,79406200
2019-11-21,310.890015,311.010010,309.390015,310.269989,305.602234,54664700
2019-11-22,311.089996,311.239990,309.850006,310.959991,306.281891,44850200
2019-11-25,311.980011,313.369995,311.980011,313.369995,308.655609,48647200
2019-11-26,313.410004,314.279999,313.059998,314.079987,309.354919,37569000
2019-11-27,314.609985,315.480011,314.369995,315.480011,310.733856,44444600
2019-11-29,314.859985,315.130005,314.059998,314.309998,309.581451,36592700
